team,date,competition_id,opponent,home_away,goals_for,goals_against,result,match_id
Morocco,2026-05-26,hxVU6FnA,Burundi,H,5,0,W,rHzS9t06
Morocco,2026-03-31,MFm8o4R6,Paraguay,H,2,1,W,nRARC4sB
Morocco,2026-03-27,SYohknSs,Ecuador,H,1,1,D,v17JEQCb
Mozambique,2026-06-09,fPqzM7E6,Indonesia,A,0,1,L,jHvfCjA6
Mozambique,2026-06-07,8QhQo763,Oman,A,1,4,L,xKBY7CrT
Mozambique,2026-01-05,2ocwdu3M,Nigeria,A,0,4,L,IukCaOdS
Mozambique,2025-12-31,Yu836meK,Cameroon,H,1,2,L,vHO0VIBb
Mozambique,2025-12-28,UBDWiltR,Gabon,A,3,2,W,fkKtQNZI
Namibia,2026-03-28,0p1ZYPS0,Comoros,H,1,0,W,GCoyD5c4
Namibia,2026-03-25,hKH8zw45,Kazakhstan,A,0,2,L,fPBGhyCk
Namibia,2025-11-17,C2aEvIrf,Comoros,A,0,4,L,AaPSioRa
Namibia,2025-11-14,QBYbV8A6,Comoros,A,0,1,L,8tEL4i67
Namibia,2025-10-13,Ea3xXbXP,Tunisia,A,0,3,L,AiNV0NGc
Netherlands,2026-06-08,W4B0BItf,Uzbekistan,H,2,1,W,Eo8XRPwQ
Netherlands,2026-06-03,djN5FBM5,Algeria,H,0,1,L,fqGrfvc5
Netherlands,2026-03-31,MmZFFoKO,Ecuador,H,1,1,D,2PWJ81Ur
Netherlands,2026-03-27,tdI0JTKa,Norway,H,2,1,W,rujmEN6L
Netherlands,2025-11-17,GA44lk4T,Lithuania,H,4,0,W,StJedUO9
New Caledonia,2026-03-27,OKcyf0Pa,Jamaica,H,0,1,L,bsLmfNVN
New Caledonia,2025-10-08,SpbFuUSb,Gibraltar,A,2,0,W,voC2gA1l
New Caledonia,2025-03-24,x6ts3nMq,New Zealand,H,0,3,L,EJImWUY0
New Caledonia,2025-03-21,GQAOD8BF,Tahiti,H,3,0,W,2XI9pGzI
New Caledonia,2024-11-17,MLAHxHmA,Fiji,A,1,1,D,S2QywUlL
New Zealand,2026-06-06,n15zGmx3,England,A,0,1,L,hpJGkndD
New Zealand,2026-06-03,lCddSIFj,Haiti,A,0,4,L,63JNxuGi
New Zealand,2026-03-30,SI1YY4AM,Chile,H,4,1,W,xjJMMS8F
New Zealand,2026-03-27,bq1RIhKO,Finland,H,0,2,L,lWHoLFXA
New Zealand,2025-11-19,6a9gmesn,Ecuador,A,0,2,L,pAyQLUqL
Nicaragua,2026-06-05,f7Eunquq,Paraguay,A,0,4,L,AmtzDMjA
Nicaragua,2026-05-29,INl06DQc,South Africa,A,0,0,D,2NxSErMc
Nicaragua,2026-03-27,GdeiAy2N,Russia,A,1,3,L,4xh8Aasn
Nicaragua,2025-11-19,2a45t3v3,Haiti,A,0,2,L,0dhM87Mk
Nicaragua,2025-11-14,QaKXR3P9,Honduras,H,2,0,W,zF8sGkUF
Nigeria,2026-06-10,bqeve6vH,Portugal,A,1,2,L,COGgSqom
Nigeria,2026-06-03,UotehLxe,Poland,A,2,2,D,0Yx41h7c
Nigeria,2026-05-30,n7OZ265L,Jamaica,A,3,0,W,C4nv5yyP
Nigeria,2026-05-26,4U5MnTT6,Zimbabwe,H,2,0,W,dfmodwko
Nigeria,2026-03-31,GQIHa6Hi,Jordan,A,2,2,D,4bcCgdIa
North Macedonia,2026-06-01,6cYBcp84,Turkey,A,0,4,L,EiV5zFHM
North Macedonia,2026-05-29,hW1D4FF5,Bosnia & Herzegovina,A,0,0,D,4lrOQdEN
North Macedonia,2026-03-31,bHtX1Mc3,Ireland,A,0,0,D,2mbs464K
North Macedonia,2026-03-26,INr90IaE,Denmark,A,0,4,L,IigYMdQH
North Macedonia,2025-11-18,0lubUOUq,Wales,A,1,7,L,Mo1vXmn9
Northern Ireland,2026-06-08,6DrOk39e,France,A,1,3,L,h6AZ5xIP
Northern Ireland,2026-06-04,QVt4Si6D,Guinea,H,1,0,W,EcGTnruQ
Northern Ireland,2026-03-31,SA9jsYdc,Wales,A,1,1,D,6XWXeh5U
Northern Ireland,2026-03-26,MJXngzhl,Italy,A,0,2,L,v7ssLzeU
Northern Ireland,2025-11-17,ronOvTfd,Luxembourg,H,1,0,W,UNYVAlCN
Norway,2026-06-07,zDMujG0C,Morocco,A,1,1,D,OAt8UvFb
Norway,2026-06-01,zPSC9Ol4,Sweden,H,3,1,W,dOKMzug3
Norway,2026-03-31,pjray2to,Switzerland,H,0,0,D,GA50LvEl
Norway,2026-03-27,tdI0JTKa,Netherlands,A,1,2,L,rujmEN6L
Norway,2025-11-16,tvNFJwnB,Italy,A,4,1,W,jR2YfaRq
Panama,2026-06-06,WflMh2j3,Bosnia & Herzegovina,H,1,1,D,MJw4zC55
Panama,2026-06-04,GSm1kIBm,Dominican Republic,H,4,2,W,As1zNuIa
Panama,2026-05-31,M1xJmsSp,Brazil,A,2,6,L,4UXzDy1d
Panama,2026-03-31,fJ4VOIgt,South Africa,A,2,1,W,rmPFz0vm
Panama,2026-03-27,l0YXn8Gl,South Africa,A,1,1,D,0rIvuc36
Paraguay,2026-06-05,f7Eunquq,Nicaragua,H,4,0,W,AmtzDMjA
Paraguay,2026-03-31,MFm8o4R6,Morocco,A,1,2,L,nRARC4sB
Paraguay,2026-03-27,n7xtTs0d,Greece,A,1,0,W,MmZAhAYb
Paraguay,2025-11-19,GWo7iK3l,Mexico,A,2,1,W,nPCcuJjm
Paraguay,2025-11-15,nkLQrn4k,USA,A,1,2,L,rRpNY1Oj
Poland,2026-06-03,UotehLxe,Nigeria,H,2,2,D,0Yx41h7c
Poland,2026-05-31,r7itqAm4,Ukraine,H,0,2,L,QXVzZ5ln
Poland,2026-03-31,xrArkb3F,Sweden,A,2,3,L,pEpXAtm1
Poland,2026-03-26,KAwmbMZp,Albania,H,2,1,W,ruWYiHPi
Poland,2025-11-17,OSa2Osp3,Malta,A,3,2,W,I35QXQyR
Portugal,2026-06-10,bqeve6vH,Nigeria,H,2,1,W,COGgSqom
Portugal,2026-06-06,tbHj7ZfR,Chile,H,2,1,W,rwGUvxUs
Portugal,2026-03-31,OzEmUpZH,USA,A,2,0,W,W4Oz5JT7
Portugal,2026-03-29,dYqqyzzg,Mexico,A,0,0,D,fVqJ27Hq
Portugal,2025-11-16,IsRkgJl5,Armenia,H,9,1,W,p0WXJ60C
Qatar,2026-06-06,pzpzlcvg,El Salvador,H,0,0,D,WrpbU7b2
Qatar,2026-05-28,CbusMVek,Ireland,A,0,1,L,GfnVQqCE
Qatar,2025-12-07,4CAktwrm,Tunisia,H,0,3,L,f1dXtwC4
Qatar,2025-12-04,tMgXX6DM,Syria,A,1,1,D,pYX6GT7N
Qatar,2025-12-01,2DseFGJG,Palestine,H,0,1,L,QPUVyyz1
Romania,2026-06-06,p0TCsHu2,Wales,H,2,1,W,tQud9j7K
Romania,2026-06-02,bZR60czq,Georgia,A,1,1,D,2ZxgjuBm
Romania,2026-03-31,6PfQhB6j,Slovakia,A,0,2,L,UeeDltNN
Romania,2026-03-26,Isk954sB,Turkey,A,0,1,L,2qgnUDXp
Romania,2025-11-18,rH2IPoRO,San Marino,H,7,1,W,tGkvwMD6
Rwanda,2026-03-30,Ii2QHcv8,Estonia,H,2,0,W,vLg41i45
Rwanda,2026-03-27,no1oIVHK,Grenada,H,4,0,W,2BAJPwGg
Rwanda,2025-10-14,YNnygKw1,South Africa,A,0,3,L,8vwouXze
Rwanda,2025-10-10,0dZTft9l,Benin,H,0,1,L,UmvstDLl
Rwanda,2025-09-09,Ugh4vLO7,Zimbabwe,A,1,0,W,xj36nFrL
San Marino,2026-06-09,EsWFk1xS,Azerbaijan,A,1,2,L,0vOQ3C9U
San Marino,2026-06-05,IBlEc5aM,Bangladesh,H,1,2,L,rPCLHBHL
San Marino,2026-03-31,Uu5IviX8,Andorra,H,0,0,D,OjQfsyam
San Marino,2026-03-28,fHgtDg3T,Faroe Islands,H,1,2,L,dSYRtJK7
San Marino,2025-11-18,rH2IPoRO,Romania,A,1,7,L,tGkvwMD6
Sao Tome and Principe,2026-03-31,Mm179yBl,Ethiopia,A,0,1,L,lpJLf1pC
Sao Tome and Principe,2026-03-27,joKsgGQ7,Ethiopia,H,0,3,L,GWKDdNFa
Sao Tome and Principe,2025-10-13,ngBj9euJ,Malawi,H,1,0,W,dlJR131i
Sao Tome and Principe,2025-10-10,fJveX7R8,Tunisia,H,0,6,L,MZSGqMoN
Sao Tome and Principe,2025-09-09,fal1BQ4k,Namibia,A,0,3,L,E9P8orHA
Saudi Arabia,2026-06-09,b1bmw6T0,Senegal,H,0,0,D,l0r76kyJ
Saudi Arabia,2026-06-05,29XU1prI,Puerto Rico,A,3,0,W,vRl9PJMM
Saudi Arabia,2026-05-31,IiIS0XEU,Ecuador,A,1,2,L,zXYgLzxo
Saudi Arabia,2026-03-31,bLrbkQf3,Serbia,A,1,2,L,pGMUK6wS
Saudi Arabia,2026-03-27,Qcs4Odjm,Egypt,H,0,4,L,KjQUOcYo
Scotland,2026-06-06,Q5oth9U9,Bolivia,A,4,0,W,hQSR9x0K
Scotland,2026-05-30,4UPzsGq9,Curacao,H,4,1,W,GvuTpll2
Scotland,2026-03-31,fR21HhhU,Ivory Coast,H,0,1,L,OQQVWHwC
Scotland,2026-03-28,WQUtLYMk,Japan,H,0,1,L,rDRLnAJk
Scotland,2025-11-18,rJDta65K,Denmark,H,4,2,W,IF1lMyQr
Senegal,2026-06-09,b1bmw6T0,Saudi Arabia,A,0,0,D,l0r76kyJ
Senegal,2026-05-31,MPd5nSln,USA,A,2,3,L,OCQLSMLE
Senegal,2026-03-31,f3QjlZMi,Gambia,H,3,1,W,h07emwOh
Senegal,2026-03-28,pG9fJRXN,Peru,H,2,0,W,2RM8s5se
Senegal,2026-01-18,CCdbCrTa,Morocco,H,0,3,L,0KhPZfnQ
Serbia,2026-06-05,YuGP9yQ8,Mexico,A,1,5,L,b1x9Omno
Serbia,2026-05-31,lzgwZvH0,Cape Verde,A,0,3,L,KtYL3IDd
Serbia,2026-03-31,bLrbkQf3,Saudi Arabia,H,2,1,W,pGMUK6wS
Serbia,2026-03-27,Ewhff7Vi,Spain,A,0,3,L,xMtre3GO
Serbia,2025-11-16,KtfxJP1m,Latvia,H,2,1,W,tl12OVHd
Seychelles,2026-03-29,vBCtBlng,Lesotho,A,1,2,L,bBEWCr0t
Seychelles,2026-03-26,f1aF7Fu1,Lesotho,H,0,0,D,8nZMhuFO
Seychelles,2025-10-14,tbk4pNQo,Gambia,H,0,7,L,t4yY190b
Seychelles,2025-10-10,4b5WVNBh,Ivory Coast,H,0,7,L,SdLHaJJU
Seychelles,2025-09-09,tMREDtdO,Kenya,A,0,5,L,KWH91ukI
Slovakia,2026-06-05,MZsJhsl3,Montenegro,H,2,2,D,G4u3m9p1
Slovakia,2026-06-01,pIMHaFHa,Malta,H,2,1,W,dEsveILH
Slovakia,2026-03-31,6PfQhB6j,Romania,H,2,0,W,UeeDltNN
Slovakia,2026-03-26,Mig2khiD,Kosovo,H,3,4,L,8MHjuvtn
Slovakia,2025-11-17,Q9olvBS1,Germany,A,0,6,L,x21OTMSp
Slovenia,2026-06-07,8OJFlwRr,Croatia,A,1,2,L,MwkAgvmI
Slovenia,2026-06-04,4lrb1m0c,Cyprus,H,1,1,D,za9DJXn9
Slovenia,2026-03-31,YTJ256Ls,Montenegro,A,3,2,W,h21I5UYG
Slovenia,2026-03-28,6L23ESs3,Hungary,A,0,1,L,hv3zKfOE
Slovenia,2025-11-18,6u7GIrw1,Sweden,A,1,1,D,2VVVu9Bc
Somalia,2026-03-31,bw2zexde,Mauritius,A,1,0,W,K4R4bqom
Somalia,2026-03-27,nH9l4tZ8,Mauritius,H,0,0,D,lMzZ35NP
Somalia,2025-11-26,vqYSvFIl,Oman,A,0,1,L,neefhCdt
Somalia,2025-11-21,OjCdqr4U,Bahrain,A,1,0,W,4Q44tr5e
Somalia,2025-11-17,hfloAJht,Bahrain,A,2,1,W,6Ha48bCG
South Africa,2026-06-06,Kv1OwfOt,Jamaica,A,1,1,D,KtzQ3QRH
South Africa,2026-05-29,INl06DQc,Nicaragua,H,0,0,D,2NxSErMc
South Africa,2026-03-31,fJ4VOIgt,Panama,H,1,2,L,rmPFz0vm
South Africa,2026-03-27,l0YXn8Gl,Panama,H,1,1,D,0rIvuc36
South Africa,2026-01-04,vyb6stlT,Cameroon,H,1,2,L,A92e36c3
South Korea,2026-06-04,I93cJoFF,El Salvador,H,1,0,W,MVBloMFO
South Korea,2026-05-31,zN30Fehd,Trinidad & Tobago,H,5,0,W,tSWLzA4M
South Korea,2026-03-31,rLhXaman,Austria,A,0,1,L,zJGkMkBc
South Korea,2026-03-28,QoDvN9Yb,Ivory Coast,H,0,4,L,Ua91qRCr
South Korea,2025-11-18,riTCjp6U,Ghana,H,1,0,W,ltH5hbvJ
South Sudan,2026-03-29,GAdEPm1n,Djibouti,H,0,1,L,Sj6m90a5
South Sudan,2026-03-26,nyGl9SG5,Djibouti,A,4,0,W,KQ2uBMUh
South Sudan,2025-11-25,KMZryXHD,Syria,A,0,2,L,K8g2jjRh
South Sudan,2025-10-13,zFZJgcTI,Togo,H,0,0,D,zkwHt50O
South Sudan,2025-10-10,ru3OH9F8,Senegal,H,0,5,L,69o0pm1a
Spain,2026-06-09,MRToC4EF,Peru,A,3,1,W,ph1aAT9e
Spain,2026-06-04,M5l3qSXq,Iraq,H,1,1,D,4E3Spdio
Spain,2026-03-31,lvXpLgvm,Egypt,H,0,0,D,Op2f19Yr
Spain,2026-03-27,Ewhff7Vi,Serbia,H,3,0,W,xMtre3GO
Spain,2025-11-18,KMHGYo8E,Turkey,H,2,2,D,Eu6koqaB
Sudan,2026-01-03,ns3jAAHt,Senegal,A,1,3,L,UoNS6WpC
Sudan,2025-12-31,YNtkLk5k,Burkina Faso,H,0,2,L,K8moylrK
Sudan,2025-12-28,ADsI6jjd,Equatorial Guinea,A,1,0,W,Wn7jF6L0
Sudan,2025-12-24,Esx5CLMH,Algeria,A,0,3,L,buK3OAbE
Sudan,2025-12-09,2kidIvS0,Bahrain,A,1,3,L,EyOfmqff
Suriname,2026-03-26,I1aijIOO,Bolivia,A,1,2,L,UPBJl1go
Suriname,2025-11-19,4UZFJQEa,Guatemala,A,1,3,L,UuzkMNeD
Suriname,2025-11-13,tKzq5Ra6,El Salvador,H,4,0,W,QmwYP5dl
Suriname,2025-10-15,rN7cA1Kl,Panama,A,1,1,D,pfu5MWkd
Suriname,2025-10-10,4AsIUV53,Guatemala,H,1,1,D,CtscOhLq
Sweden,2026-06-04,tp0SjBtS,Greece,H,2,2,D,nVbellBj
Sweden,2026-06-01,zPSC9Ol4,Norway,A,1,3,L,dOKMzug3
Sweden,2026-03-31,xrArkb3F,Poland,H,3,2,W,pEpXAtm1
Sweden,2026-03-26,x4mg9nrn,Ukraine,A,3,1,W,YT2GZZ9N
Sweden,2025-11-18,6u7GIrw1,Slovenia,H,1,1,D,2VVVu9Bc
Switzerland,2026-06-06,OWiIV6sA,Australia,H,1,1,D,ruc3zsQH
Switzerland,2026-05-31,t6aj8Ol4,Jordan,H,4,1,W,f5mVVVgB
Switzerland,2026-03-31,pjray2to,Norway,A,0,0,D,GA50LvEl
Switzerland,2026-03-27,SnRaEsw3,Germany,H,3,4,L,xMB436h3
Switzerland,2025-11-18,Gh9wVCSN,Kosovo,A,1,1,D,4IfDhne3
Togo,2026-06-09,x2Y0Kfw2,Benin,H,5,1,W,xfYwGYAs
Togo,2026-06-05,GErzHLW9,Central Africa,A,1,1,D,8xq71Zel
Togo,2026-03-31,rgK7pMth,Niger,A,1,0,W,A9Bv8eJ6
Togo,2026-03-27,r5n67skI,Guinea,A,2,2,D,0jbDNhq1
Togo,2025-10-13,zFZJgcTI,South Sudan,A,0,0,D,zkwHt50O
Trinidad & Tobago,2026-06-09,U96E0TbD,Russia,A,0,3,L,nRhGL5tR
Trinidad & Tobago,2026-05-31,zN30Fehd,South Korea,A,0,5,L,tSWLzA4M
Trinidad & Tobago,2026-03-30,MaNDpu62,Gabon,H,2,3,L,C6TVHz0P
Trinidad & Tobago,2026-03-27,z50BSoTJ,Venezuela,A,1,4,L,C8hBhKWD
Trinidad & Tobago,2026-03-15,EZaAWqc4,Bolivia,A,0,3,L,hQ60DGdC
Tunisia,2026-06-06,UuDuXAp4,Belgium,A,0,5,L,4nYE6kxR
Tunisia,2026-06-01,vDDSR2m3,Austria,A,0,1,L,C2OQdZsn
Tunisia,2026-03-31,GfvD7dg4,Canada,A,0,0,D,d8eXienf
Tunisia,2026-03-29,zL4Ius5m,Haiti,A,1,0,W,WQ9F4YVa
Tunisia,2026-01-03,nowNwXH8,Mali,A,1,2,L,jilu6sfL
Turkey,2026-06-06,IJQcltVj,Venezuela,A,2,1,W,pzMyVhup
Turkey,2026-06-01,6cYBcp84,North Macedonia,H,4,0,W,EiV5zFHM
Turkey,2026-03-31,MiXjq8Fd,Kosovo,A,1,0,W,xlsPC2Il
Turkey,2026-03-26,Isk954sB,Romania,H,1,0,W,2qgnUDXp
Turkey,2025-11-18,KMHGYo8E,Spain,A,2,2,D,Eu6koqaB
USA,2026-06-06,rwYFAaxS,Germany,H,1,2,L,dOR51pNF
USA,2026-05-31,MPd5nSln,Senegal,H,3,2,W,OCQLSMLE
USA,2026-03-31,OzEmUpZH,Portugal,H,0,2,L,W4Oz5JT7
USA,2026-03-28,pQCXXSZh,Belgium,H,2,5,L,AkzS6uae
USA,2025-11-19,ID3J22Mh,Uruguay,H,5,1,W,rs11mfPp
Uganda,2025-12-30,fwTbhuEl,Nigeria,H,1,3,L,xnP4B33S
Uganda,2025-12-27,GQ2JC9a3,Tanzania,H,1,1,D,WlMdDPYF
Uganda,2025-12-23,hG3nbApA,Tunisia,A,1,3,L,rTu2irCd
Uganda,2025-11-18,S807Mmr3,Morocco,A,0,4,L,hYNoLydM
Uganda,2025-11-14,UuTVq8Pa,Chad,H,2,1,W,UoaGQYSQ
Ukraine,2026-06-07,hOgQqdVI,Denmark,A,1,2,L,6HMNNw5S
Ukraine,2026-05-31,r7itqAm4,Poland,A,2,0,W,QXVzZ5ln
Ukraine,2026-03-31,G6M8ioQ6,Albania,H,1,0,W,hOerRDfd
Ukraine,2026-03-26,x4mg9nrn,Sweden,H,1,3,L,YT2GZZ9N
Ukraine,2025-11-16,Odytm656,Iceland,H,2,0,W,p6kW4GpQ
United Arab Emirates,2025-12-15,dn1Gy3fC,Morocco,A,0,3,L,rqtYu9nT
United Arab Emirates,2025-12-12,hhLm5x05,Algeria,A,2,1,W,zmUdzhL5
United Arab Emirates,2025-12-09,E3Xj5W8e,Kuwait,H,3,1,W,Gj1s6S9E
United Arab Emirates,2025-12-06,6NRXNeSI,Egypt,H,1,1,D,zatWrash
United Arab Emirates,2025-12-03,SCQHRwTg,Jordan,A,1,2,L,r5gpLeko
Uruguay,2026-03-31,GjGHi8Tq,Algeria,A,0,0,D,pzOUljac
Uruguay,2026-03-27,Obfyfhzi,England,A,1,1,D,IHvvmo8M
Uruguay,2025-11-19,ID3J22Mh,USA,A,1,5,L,rs11mfPp
Uruguay,2025-11-16,vDeZXY6b,Mexico,A,0,0,D,65iOQJyf
Uruguay,2025-10-13,CYw9DNlf,Uzbekistan,A,2,1,W,AFa52yJb
Uzbekistan,2026-06-08,W4B0BItf,Netherlands,A,1,2,L,Eo8XRPwQ
Uzbekistan,2026-06-02,E7LI1OK6,Canada,A,0,2,L,0S4Q383T
Uzbekistan,2026-03-30,IipkL3Lg,Venezuela,H,1,0,W,bPjJjb1Q
Uzbekistan,2026-03-27,dvNKOcqq,Gabon,H,3,1,W,KbRpfX7I
Uzbekistan,2026-01-30,Wl79hoLq,Urartu,H,4,2,W,CrQmdiW7
Wales,2026-06-06,p0TCsHu2,Romania,A,1,2,L,tQud9j7K
Wales,2026-06-02,ryiSXFoA,Ghana,H,1,1,D,0KmSaHsI
Wales,2026-03-31,SA9jsYdc,Northern Ireland,H,1,1,D,6XWXeh5U
Wales,2026-03-26,pUWJ7Z6s,Bosnia & Herzegovina,H,1,2,L,4lBawIAb
Wales,2025-11-18,0lubUOUq,North Macedonia,H,7,1,W,Mo1vXmn9
Zimbabwe,2026-05-30,Wxm8NwnC,India,A,1,0,W,YgoO8Jy0
Zimbabwe,2026-05-26,4U5MnTT6,Nigeria,A,0,2,L,dfmodwko
Zimbabwe,2026-03-31,IVK13dAU,Zambia U23,H,1,0,W,hhiC1hac
Zimbabwe,2026-03-28,hvKEyrbJ,Botswana,A,3,0,W,rD2yZNg3
Zimbabwe,2025-12-29,A9TEqBVG,South Africa,H,2,3,L,G0AMBCcB
